C,o,m,p,a,n,i,e,s
Uplift,"Uplift is a payment marketing platform offering e-commerce, travel, and non-profit organizations a way to develop relationships with customers and donors through analytics and influencing consumer choice. Uplift's Payment Marketing Platform enables online merchants to promote preferred payment types, drive acquisition, and increased usage of merchant co-branded cards, build brand loyalty, and propel channel shift.",Internet Software & Services,United States,$292.70M,2014,01/07/2021,Line of Credit - II,$68.00M
AristaSoft Corporation,"AristaSoft Corporation is a Internet/Internet Software & Services company based in San Jose, California. AristaSoft Corporation's investors include C.E. Unterberg, Enron, Palomar Ventures, Azure Capital Partners, Morgan Stanley, Agile Software, Crosspoint Venture Partners and Warburg Pincus.",Internet Software & Services,United States,$106.10M,1998,08/24/2000,Series C,$68.00M
Syapse,"Syapse develops applications that enable the use of omics profiles in diagnosing and treating patients at diagnostic companies, research institutions, medical centers, and payers. The Syapse Discovery application provides an end-to-end solution for companies and laboratories deploying next-generation sequencing-based diagnostics, from patient sample received to physician report delivered. Discovery's configurable semantic data structure enables users to bring omics data together with traditional medical information to develop and deliver diagnostic tests. The platform's open interfaces enable bioinformaticians and biologists to use their favorite computational tools and annotations.",Internet Software & Services,United States,$169.50M,2008,02/02/2021,Series G,$68.00M
Lingoda,"Lingoda offers an online English school with experienced English native speakers as teachers. Students can create their own learning curriculums and choose their own study environments and times to learn. They can study in group classes, have private classes, and access interactive learning videos.",Internet Software & Services,Germany,$70.74M,2014,04/15/2021,Series C,$68.00M
Unily,"Unily creates digital workplaces designed to improve collaboration, engage a geographically spread workforce and increase productivity. Its solutions include intranets, extranets and customer portals that combine social channels, apps, communication tools and software packages in one place.",Internet Software & Services,United Kingdom,$68.00M,2005,06/17/2019,Growth Equity,$68.00M
Creatio,"Creatio provides a low-code platform for process management and CRM. The company offers BPM software, business apps, implementation and consulting, elaboration, and transition. It is based in Boston, Massachusetts.",Internet Software & Services,United States,$68.00M,2013,02/22/2021,Growth Equity,$68.00M
Pangaea,Pangaea aims to help digital consumer brands including Lumin and Meridian.,Internet Software & Services,United States,$68.00M,2018,07/21/2021,Series B,$68.00M
INFI,"INFI's technology adds the Human Dimension to digital platforms by reflecting the personality of the individual (states of mind, traits and motivators) on apps of service providers. The company developed a set of algorithms and deep learning AI platform that integrates into all major platforms, providing understanding of why individuals are doing something vs merely what they are currently doing, enabling INFI's clients to understand how and when to best approach, assess risk, and increase loyalty.","Scientific, Engineering Software",Israel,$116.00M,2013,05/01/2018,Series C,$68.00M
Wildanet,Wildanet is a Wireless Internet Service Provider (WISP) deploying fast connectivity (20Mbps up to 1Gbps) in hard to reach areas of Cornwall.,Internet Software & Services,United Kingdom,$69.19M,2017,01/04/2021,Unattributed,$67.85M
Motorway,"Motorway is a used car marketplace, connecting consumer sellers to professional car buyers through its price comparison website. Consumer car sellers can instantly see live offers from multiple car buying services and specialist dealerships. They can compare headline offers, read buyer reviews, fees and collection options to find the best deal. As a two-sided marketplace, the company's buyer platform provides a fast and efficient way for car buying firms to buy the best used car stock, direct from consumers – cutting out middlemen.",eCommerce,United Kingdom,$85.43M,2017,06/14/2021,Series B,$67.76M
AristaSoft,"Provider of industry-focused application services. The company provides integrated solutions that span the entire enterprise applications life cycle, from implementation and user support, to system and network management, for the fast growth high-tech companies in the electronics and networking equipment, software, and Internet industries.",,United States,$102.65M,1999,08/28/2000,Series C,$67.75M
ActionIQ,"ActionIQ is an enterprise customer data platform that aims to solve the problems marketers face including the flow and scale of data, analytics, and campaigns.",Internet Software & Services,United States,$145.00M,2014,03/23/2021,Series C - II,$67.60M
Shogun Labs,"Shogun has developed a drag-and-drop front-end builder enables clients to easily build landing pages for their Shopify and BigCommerce stores, so they can sell more. Shogun's technology integrates directly with Shopify and BigCommerce, so e-commerce sellers don't have to set up sub-domains that adversely affect search engine optimization.",eCommerce,United States,$114.72M,2018,06/30/2021,Series C,$67.50M
ThinkHR,"ThinkHR is a cloud-based HR resource center that offers a combination of online compliance and employee training solutions, as well as a live HR hotline staffed by HR advisors to help companies ensure HR compliance, resolve people issues, and implement best practices and training to optimize employee performance.",Internet Software & Services,United States,$87.50M,2005,08/22/2018,Growth Equity - II,$67.50M
Secret Escapes,Secret Escapes is a members-only travel club offering discounted rates on luxury hotels and holidays in the UK.,eCommerce,United Kingdom,$258.46M,2010,07/19/2018,Series E,$67.46M
Yupi Internet,Yupi Internet is a Latin internet portal.,Internet Software & Services,United States,$80.36M,1996,11/16/1999,Unattributed VC - II,$67.38M
TriVergent,TriVergent is a facilities-based integrated communications and applications services provider.,Internet Software & Services,United States,$122.85M,1997,03/16/2000,Unattributed VC - II,$67.10M
BlackBuck,BlackBuck is a B2B tech logistics startup that brings together truckers and shippers through its online marketplace to facilitate inter-city freight transportation.,eCommerce,India,$330.88M,2015,07/22/2021,Series E,$67.00M
Salary.com,"Salary.com provides enterprises, small businesses and individuals with reliable information about employee pay levels and compensation-related best practices, trends and policies. Through cloud-based software and extensive domain knowledge, the company helps clients win the war for talent by simplifying the connections between people and pay.",Internet Software & Services,United States,$71.10M,1999,04/28/2021,Private Equity,$67.00M
Deep Instinct,"Deep Instinct applies a subset of artificial intelligence (AI), known as deep learning, to cybersecurity. The company has built a vast neural network that is trained on hundreds of millions of files. There are no human dependencies related to identifying and preventing cyber attacks. As a result, threats are detected >99% of the time, with a false positive rate <0.1%.",Internet Software & Services,United States,$260.38M,2015,07/06/2021,Series D - II,$67.00M
OneMediaPlace,"OneMediaPlace was a Internet/Internet Software & Services company based in San Francisco, California. OneMediaPlace was acquired in 2001.",Internet Software & Services,United States,$91.20M,1997,05/15/2000,Unattributed VC,$67.00M
RainKing Solutions,"RainKing provides rich sales intelligence on nearly 50,000 mid- to large-size organizations in North America and Europe, as well as detailed information about the decision makers working at each of these organizations. RainKing's software allows customers to perform detailed analysis across this rich dataset to uncover the best prospects and then target the right decision makers at every organization. RainKing's research team also uncovers more than 1,200 new, actionable spending initiatives – called InsideScoops – which are published to customers every business day. Customers access RainKing through a simple SaaS application, and can easily integrate data and intelligence seamlessly with Salesforce, Microsoft Dynamics, Marketo, Eloqua and other platforms.",Internet Software & Services,United States,$67.00M,,10/13/2015,Growth Equity,$67.00M
Syncron International,"Syncron specializes in cloud-based aftermarket service optimization. Syncron provides global inventory management, global price management, order management and master data management software to manufacturing and distribution companies around the world. Headquartered in Stockholm, Sweden with U.S. offices in Atlanta and Chicago, Syncron combines a passion for innovation, business process expertise, and a global collaborative workforce to deliver immediate and measurable improvements for its clients. Syncron offers inventory solutions and software pricing models which help you improve profits and perform value chain analysis.",Internet Software & Services,Sweden,$87.00M,1999,10/16/2018,Growth Equity,$67.00M
TMA Systems,"TMA Systems provides facilities maintenance software for 1,400 clients worldwide, with a market focus on primary education and health care.",Supply Chain & Logistics Software,United States,$68.00M,1988,10/05/2021,Growth Equity,$68.00M
CSMC Technologies,"Provider of foundry services mainly for CMOS logic, mixed signal, high voltage, and non-volatile memory integrated circuits. The company offers integrated circuit manufacturing, foundry management and operating services for fabless design houses and integrated device manufacturers that outsource their production.",Electronic Manufacturing Services,China,$67.00M,,08/05/2003,Growth Equity,$67.00M
Atheros Communications,"Atheros Communications is a developer of networking technologies for secure, high-performance wireless local area networks. Atheros is driving transparent connections among electronic devices in the office, home and on the road.",Chips & Semiconductors,United States,$104.32M,1998,04/19/2001,Series C,$66.67M
EasyMile,"EasyMile provides both software powering autonomous vehicles and smart mobility solutions. The company is developing the EZ10 electric driverless shuttle, which provides shared driverless transportation over short distances. EasyMile electrical shuttles operate from a transport hub to a final destination within a precinct or confined area.","Scientific, Engineering Software",France,$89.14M,2014,04/28/2021,Series B,$66.53M
3G Mobile,3G Mobile is a distributor of mobile devices and handsets to major retailers and cellular network providers.,Electrical Products,South Africa,$66.19M,,08/02/2017,Corporate Minority,$66.19M
AfterShip,AfterShip helps online businesses track packages and notify customer's with delivery updates.,Internet Software & Services,Hong Kong,$67.00M,,04/22/2021,Series B,$66.00M
MobileCoin,"MobileCoin is a cryptocurrency. It is available through the CoinsRace platform, on both desktop and mobile. The e-wallet allows users to have their MobileCoins with them at all times.",Internet Software & Services,United States,$108.03M,2018,07/07/2021,Series B,$66.00M
LifeStreet,"LifeStreet is a provider in global in-app advertising for Facebook, Apple (iOS) and Android developers. LifeStreet's RevJet optimization platform is built upon a universal object server and is the product of a software development investment. RevJet applies Iterative High Velocity Testing to any digital revenue driver, ranging from visual objects such as ads and landing pages to logical objects such as trafficking decisions and revenue maximization algorithms. RevJet is producing monetization levels and high volumes of new customers for social and mobile advertisers, publishers and app developers alike.",Internet Software & Services,United States,$66.00M,,05/03/2012,Private Equity,$66.00M
ServiceSource,"ServiceSource is a company in the Service Performance Management industry focusing on growing service share ""by increasing the number of customers who buy services and the amount they spend on those services. Per the company, ServiceSource has five global service centers that serve technology and healthcare IT clients in over 100 countries and 30+ languages and has delivered more than $5B in services revenue for its clients. The company manages more than 400,000 customer relationships, 40,000 partners annually, with over $3B currently under management.","Advertising, Sales & Marketing",United States,$76.00M,2003,01/19/2007,Growth Equity,$66.00M
Aidoc Medical,"Aidoc finds and flags critical findings in medical images. By automatically prioritizing urgent, life-threatening conditions like intracranial hemorrhage and pulmonary embolism, Aidoc saves lives, improves patient care and cuts waiting time for the must urgent patients down to only a few minutes. The always-on AI integrates into a radiologist's workflow, reprioritizing cases without forcing radiologists to change the way they work.",Healthcare Software,Israel,$123.60M,2016,07/13/2021,Series C,$66.00M
TOA Technologies,"TOA Technologies is a provider of field service and mobile workforce management software solutions. ETAdirect, a complete cloud application suite, measures everything that happens in the field, down to the minutest details of work and travel, and creates unique performance pattern profiles for each and every person in the field – a veritable work fingerprint. Using a statistical analysis engine, it predicts when things will happen and how long they will take to do in the future. Using these predictions, ETAdirect holistically manages the entire service delivery process from start to finish: from the moment an appointment or service is requested, through planning, routing and scheduling, to real-time customer communications and field management. To support a broad spectrum of fieldwo...",Internet Software & Services,United States,$100.20M,2003,07/16/2013,Series E,$66.00M
Funnel,"Funnel gives marketers automated access to their data. Customers include e-commerce companies, media agencies and brands.",Internet Software & Services,Sweden,$131.00M,2014,10/13/2021,Series C,$66.00M
Innovusion,"Innovusion is a developer of LiDAR technology for the autonomous vehicle markets. Innovusion is making its LiDAR system, the Innovusion Cheetah, available for ordering by customers worldwide. It is an image-grade LiDAR system that supports level 4+* (fully autonomous under certain operating conditions) autonomous driving solutions.",Chips & Semiconductors,United States,$162.75M,2016,08/13/2021,Series B - II,$66.00M
Newview Technologies,"Newview Technologies Inc. (http://www.newview.com) develops direct material specification and procurement solutions that connect Product Development and Procurement. Companies that select Newview are able to create cost advantages by bringing visibility and control to raw materials and standard components. Built on Newview's flexible Network Business Process Architecture™, these solutions are easily configurable, work with existing business applications and can be deployed in 90 days. Newview is headquartered in Fort Worth, Texas, and delivers value for customers that include DaimlerChrysler, Ford Motor Company, International Truck and Engine Corporation, Rolls-Royce plc, and BHP Steel. The company is supported by strategic investors led by Bessemer Venture Partners, Greylock...",,United States,$76.00M,1998,12/14/1999,Series C,$66.00M
BRYTER,"BRYTER is a no-code, AI-powered SaaS building platform to automate expert knowledge and to build interactive, scalable modules. BRYTER is cloud-based, intuitive, and easy to learn.",Internet Software & Services,Germany,$88.00M,2018,04/07/2021,Series B,$66.00M
JumpCloud,"JumpCloud automates server management tasks from the cloud for DevOps and IT pros. JumpCloud automates the management of users, patches, security, and compliance.",IT Services,United States,$418.45M,2012,10/19/2021,Series F - II,$66.00M
BusinessBigData,"BusinessBigData (BBD) focuses on analytical data for the financial services sector. The company is a data service provider focusing on the financial industry and government departments, with headquarters in Chengdu and branches in Beijing, Chongqing, Guiyang, Hefei, London and Singapore. BBD has published the commercial data industry standard COSR data service framework and also possesses the Enterprise Credit Information Business Operation Record Certificate issued by the People's Bank of China. It has achieved more than 600 transformations of intellectual property achievements and is one of the companies with most open databases in China. It possesses a series of intelligent data platforms with independent intellectual property rights. BBD's products are applied in the fields of c...",Internet Software & Services,China,$98.43M,2013,02/10/2018,Series E,$65.95M
Embibe,Embibe is an online test prep portal specializing in engineering entrance exams.,Internet Software & Services,India,$82.55M,2012,04/10/2020,Convertible Note,$65.90M
Silicon Quantum Computing,Silicon Quantum Computing (SQC) is a hardware quantum computing company that aims to advance the development and commercialization of the University of New South Wales' quantum computing technology.,Supercomputers,Australia,$65.82M,2017,08/23/2017,Unattributed,$65.82M
Doctor Anywhere,"Doctor Anywhere is a Singapore-based telehealth company that provides on-demand healthcare solutions. The company's digital platform gives users quick access to health and wellness solutions, wherever they are.",Internet Software & Services,Singapore,$96.80M,2015,08/31/2021,Series C,$65.70M
DoGain Laser,"DoGain Laser develops semiconductor laser chips for industrial processing, laser medical, optical communications, laser radar, and other fields.",Chips & Semiconductors,China,$65.64M,2017,10/28/2021,Series C,$65.64M
TaniHub Group,"TaniHub Group is an agritech company whose business is divided into two main lines: TaniHub and TaniFund. TaniHub is an e-commerce unit that helps local farmers directly connect with corporate buyers such as supermarkets, hotels, and restaurants. TaniFund is a crowdfunding platform that connects lenders with groups of farmers interested in improving their farm activities.",eCommerce,Indonesia,$92.50M,2016,05/21/2021,Series B - II,$65.50M
Jawbone Health,"Jawbone Health seeks to catch lifestyle diseases early for its members, and help them manage these new conditions as well as pre-existing ones - so they can live healthier, happier and longer. The company's personalized service utilizes continuous health data combined with human and machine intelligence to take care of members on a daily basis.",Healthcare Software,United States,$65.43M,2017,05/10/2019,Series A,$65.43M
Awardco,Awardco is an employee recognition and engagement platform that integrates with Amazon for all employee recognition programs.,eCommerce,United States,$70.88M,2011,10/25/2021,Series A,$65.20M
Urban Company,"Urban Company is an Indian home services marketplace. The platform helps customers book home services, including beauty services, fitness training, appliance repair, plumbing, and more.",eCommerce,India,$441.24M,2014,06/02/2021,Series F - II,$65.00M
Tradesy,"Tradesy builds peer-to-peer marketplaces for women who buy, sell, and trade fashion from their closets. The service also makes it easy to handle returns, packaging, and shipping.",eCommerce,United States,$148.13M,2012,09/17/2021,Series D,$67.00M
Flexential,"Flexential, fka ViaWest, is a colocation, cloud, and managed services provider in North America, with a comprehensive suite of fully compliant environments, including premium wholesale and retail colocation, private and public clouds and managed services. Enabling businesses to leverage both their existing IT infrastructure and emerging cloud resources, ViaWest delivers the right balance of cost, scalability and security. With a team-based account management approach and 100% uptime guarantee, ViaWest offers tailored solutions designed for maximum reliability and flexibility.",IT Services,United States,$65.00M,1999,04/04/2012,Debt,$65.00M
Atrium,Atrium LTS is a LegalTech company that provides tools and processes to transform the delivery of corporate legal services. It aims to streamline the work that is done in-house to make it more manageable for lawyers and those who work at law firms.,Internet Software & Services,United States,$75.50M,2017,09/10/2018,Series B,$65.00M
Pricefx,"Pricefx provides a full suite price management and CPQ SaaS solution based on a native cloud architecture, offering broad and flexible support across the entire price management lifecycle, including Price Strategy, Controlling, Setting, Optimization, and Realization. The solution is suitable for B2B and B2C as well as any industry facing pricing challenges of commercial organizations of any size and geographical location.",Internet Software & Services,Germany,$131.31M,2011,07/14/2020,Series C,$65.00M
HappyFresh,HappyFresh is an online grocery startup that aims to make shopping more convenient by delivering fresh groceries from stores around cities in as little as one hour. HappyFresh operates its own delivery fleet and staff that pick the fresh groceries from partnering supermarkets.,eCommerce,Indonesia,$97.00M,2015,07/27/2021,Series D,$65.00M
CloudGenix,"CloudGenix is a software-defined wide-area network (SD-WAN) provider, transforming legacy WAN's into a simplified, secure application-defined fabric, and virtualizing heterogeneous underlying transports into a unified hybrid WAN. Enabling application-specific service-level agreements (SLAs), CloudGenix controls application performance on the network based upon application performance SLA's and business priority. CloudGenix ION simplifies how WANs are designed and managed, enabling customers to build networks without networking and achieve better performance at a lower cost, resulting in a faster time-to-value once deployed and extends datacenter-class security to the network edge.On March 31st, 2020, CloudGenix was acquired by Palo Alto Networks at a valuation of $420M.",IT Services,United States,$99.00M,2014,04/17/2019,Series C,$65.00M
Birst,"Birst, offered by Success Metrics, is a provider in Cloud BI and Analytics. The company helps organizations make thousands of decisions better, every day, for every person. Birst's patented-pending 2-tier data analytics and BI platform enables enterprises to create a trusted source of data, place it in the context of key business users and then enable business users up and down the organizations to report and analyze the information using world-class BI tools. Thousands of the most demanding businesses trust Birst to make metric-driven business execution a reality.",Internet Software & Services,United States,$148.00M,,03/17/2015,Series F,$65.00M
Madai Licai,Madai Licai is an Internet finance start-up.,Internet Software & Services,China,$65.00M,,12/11/2015,Private Equity,$65.00M
HouseCanary,"HouseCanary builds products that use data and predictive models to help others make better real estate decisions. The company empowers clients to make better real estate decisions by providing products that leverage the best real estate forecasts, data, and visualization tools around.",Internet Software & Services,United States,$129.07M,2013,02/06/2020,Series C,$65.00M
CloudFactory,CloudFactory creates economic and leadership opportunities for talented people in developing nations. CloudFactory is a distributed labor platform melding human and machine intelligence.,Internet Software & Services,United Kingdom,$77.30M,2010,11/20/2019,Series B - II,$65.00M
dYdX Trading,dYdX is a decentralized protocol for financial derivatives built on the Ethereum blockchain.,Internet Software & Services,United States,$86.97M,2017,05/12/2021,Series C,$65.00M
Friss,"Friss uses proprietary analytics software to provide solutions in the fields of fraud, risk, and compliance for the insurance industry.",Compliance,Netherlands,$84.10M,2006,07/28/2021,Series B,$65.00M
HNI Healthcare,"HNI Healthcare is a technology based healthcare services company that delivers full service hospitalist programs along with flexible solutions and services customizable to each client's situation. Its technology suite, HM VitalSigns, has proven to improve patient outcomes while also improving its clients' operating performance by strengthening the revenue cycle, controlling costs and reporting key performance indicators.",Healthcare Software,United States,$122.08M,,11/27/2018,Unattributed,$65.00M
B-Stock Solutions,B-Stock Solutions provides solutions to retailers and manufacturers that increase their recovery on the sale of their customer returns and other excess inventory.,eCommerce,United States,$73.20M,2007,06/26/2018,Growth Equity,$65.00M
InteQ Corporation,"InteQ is a leader in On Demand IT Service Management. Our Software-as-a-Service solutions dramatically reduce the total cost of ownership, offer the fastest time to production and are the easiest to adopt. Since 1995, InteQ has been helping customers worldwide achieve IT service excellence using a unique solutions portfolio and experience.",Internet Software & Services,United States,$137.00M,1995,10/09/2002,Series B,$65.00M
Taxfix,Taxfix provides a mobile-first tax assistant that leverages a questionnaire and machine learning technology to allow people to make their declaration in a short amount of time.,Mobile Software & Services,Germany,$110.36M,2016,04/16/2020,Series C,$65.00M
Celsius Therapeutics,"Celsius Therapeutics applies a systematic approach to single-cell sequencing, combining massive datasets and complex algorithms in order to discover precision therapies that have an impact on the lives of patients with autoimmune diseases and cancer. By analyzing single cells, Celsius' approach has the potential to understand the causes of disease at an entirely new level of resolution that overcomes limitations of traditional genomic sequencing approaches.",Biotechnology,United States,$65.00M,2017,05/15/2018,Series A,$65.00M
Oresis Communications,Oresis Communications offers a multiservice switching system.,Electronic Components,United States,$99.10M,1998,03/09/2001,Series C,$65.00M
JOLLY Information Technology,"JOLLY Information Technology is an eCommerce solutions provider & online retailer, helping mainstream manufacturers of apparel, outdoor gears, homeware and lighting appliances to maximize revenues, reduce the costs and risks of running an online business, and build their brands internationally. The company also operates JollyChic.com, a platform that helps users find popular garment brands at reasonable prices.",eCommerce,China,$100.12M,2008,08/05/2019,Series C - II,$65.00M
College Ave Student Loans,College Ave Student Loans is an online marketplace lender with a sole focus on private student loans. The company is using technology and a deep industry expertise to connect families who need to cover education costs with lenders who can provide that funding.,eCommerce,United States,$115.00M,2014,02/21/2019,Line of Credit,$65.00M
PubNub,"PubNub is a secure global Data Stream Network (DSN) and easy-to-use API that enables its customers to connect, scale, and manage realtime applications and IoT devices. With over 70 SDKs for every platform, 250ms worldwide data transfer times and scalability for hundreds of millions of devices, PubNub's unique infrastructure provides the ability to easily connect and operate world-class realtime applications and IoT devices.",Internet Software & Services,United States,$134.50M,2010,11/04/2021,Series E,$65.00M
Sysnet Global Solutions,"Sysnet Global Solutions provides payment card industry compliance services, specializing in PCI DSS compliance validation and merchant intelligence solutions. Sysnet offers a range of services, including its proprietary web based compliance management and merchant intelligence solution SysnetAIR, to a wide variety of businesses including acquirers, ISOs, international banks, payment service providers and merchants.",Compliance,Ireland,$249.00M,1989,01/06/2021,Debt,$65.00M
InfoSum,"InfoSum enables companies to understand a broader perspective of their customers' lives by joining siloed data sets and collaborate without the commercial and regulatory risks associated with centralized platforms. Using patented, privacy-first technology, InfoSum connects customer records between and amongst companies, without ever sharing data. Customers across financial services, content distribution, connected television, eCommerce, gaming, and entertainment all trust InfoSum to seamlessly and compliantly connect their customer data to other partners through privacy-safe, permissioned, data networks.",Internet Software & Services,United Kingdom,$93.21M,2015,08/17/2021,Series B,$65.00M
Shipmonk,"ShipMonk provides multi-channel order fulfillment services and inventory management software to small and midsized (SMB) e-commerce companies. ShipMonk enables SMBs to focus on building their brands and achieving growth rather than managing backend logistics. API integrations sync directly with customers' marketplace platforms and online shopping carts to automatically import orders, which are then processed at ShipMonk's two bicoastal warehouse locations. ShipMonk aims to save e-commerce companies money while providing a scalable supply chain solution at service levels that the company believes are difficult for SMBs to achieve on their own.",Internet Software & Services,United States,$365.00M,2018,01/27/2021,Series C,$65.00M
Pliops,Pliops develops cloud storage solutions. Its technology collapses multiple inefficient layers into one ultra-fast device based on a patent-pending approach.,Internet Software & Services,Israel,$105.00M,2017,02/24/2021,Series C,$65.00M
Hyperchip,Hyperchip offers massively parallel routing for petabit class systems,Computer Networking Equipment,Canada,$65.00M,,09/12/2000,Unattributed VC,$65.00M
Outrider,Outrider automates logistics hubs with three main components.The first is a web-based user interface that allows customers to dispatch and move vehicles around the yard. The second is the site infrastructure that allows autonomous vehicles to operate safely around warehouses. The third piece is an actual electric automated yard truck featuring vision-based robotics for moving trailers around the complex and confined yard environment.,"Manufacturing, Warehousing & Industrial Software",United States,$127.25M,2017,10/28/2020,Series B,$65.00M
Popmenu,Popmenu helps restaurants take real-time control of their menu and turn it into an essential tool for attracting and engaging guests and potential guests.,Internet Software & Services,United States,$87.09M,2016,05/25/2021,Series C,$65.00M
All Day Kitchens,All Day Kitchens is a platform that empowers restaurants to take advantage of the delivery opportunity. Its delivery-optimized kitchens and technology unlock delivery coverage with minimal upfront investment.,eCommerce,United States,$102.00M,2018,10/01/2021,Series C,$65.00M
Rockley Photonics,Rockley Photonics develops a third-generation photonics platform specifically designed for the optical input and output challenges facing sensor systems and communication networks. Its platform was developed with a focus on high-volume manufacturing of highly integrated optical and electronic devices.,Chips & Semiconductors,United States,$207.00M,2013,01/29/2021,Series G,$65.00M
Vise,Vise is a sub-advisor platform that harnesses the power of AI to create every client their own personalized portfolio of individual securities.,Internet Software & Services,United States,$126.55M,2016,05/18/2021,Series C,$65.00M
SeekOut,SeekOut is a talent sourcing tool that helps recruiters to discover and reach passive and diverse job candidates faster.,Internet Software & Services,United States,$73.20M,2017,03/09/2021,Series B,$65.00M
Loop Returns,"Loop Returns helps brands handle returns from online purchases. It first asks the customer if they’d like a different size in the item they bought, quickly managing an exchange. It then asks if the customer would prefer to exchange for a new item altogether, depositing the credit in that person’s account in real time so they can shop for something new immediately. If an exchange isn’t in the cards, Loop will ask the customer if they’d prefer credit with this brand over a straight-up refund.",eCommerce,United States,$76.52M,2016,07/21/2021,Series B,$65.00M
Rewind,Rewind is an online backup service for SaaS applications that helps retailers of all sizes protect business-critical data in cloud apps.,Internet Software & Services,Canada,$80.00M,2015,09/15/2021,Series B,$65.00M
Tiko,"Tiko is a platform for quickly selling real estate. Users enter the address and basic information about the residential property they are looking to sell and get an offer within 24 hours. If they accept, they are paid instantly.",Internet Software & Services,Spain,$106.53M,2017,07/20/2021,Series A,$65.00M
AliveCor,"AliveCor focuses on the creation of FDA-cleared machine learning techniques to enable proactive heart care and is recognized around the world for transforming cardiac care. The FDA-cleared KardiaMobile is a clinically validated mobile EKG solution on the market. It is recommended by cardiologists and used by people worldwide for accurate EKG recordings. KardiaMobile, and KardiaBand, when paired with the Kardia app provide instant analysis for detecting atrial fibrillation (AF) and normal sinus rhythm in an EKG.",Mobile Software & Services,United States,$134.33M,2011,11/16/2020,Series E,$65.00M
Substack,"Substack is a newsletter monetization platform. It includes design templates, content management, subscription tools, and secure Stripe payments.",Internet Software & Services,United States,$82.42M,2017,03/30/2021,Series B,$65.00M
Hologram,Hologram enables developers and companies of any size and level of sophistication to build cellular-connected devices without the hassle and expense of custom engineering cellular infrastructure. Hologram is a platform for building Internet of Things products with a focus on cellular.,Internet Software & Services,United States,$77.78M,2013,08/10/2021,Series B,$65.00M
Youkeshu,"Youkeshu provides services to help cross-border e-commerce firms with lower sales, storage, and logistic expenses.On November 18th, 2018, Youkeshu was acquired by Tiza Information at a valuation of $490.10M.",Internet Software & Services,China,$79.00M,2010,07/02/2015,Series B,$65.00M
Paradigm,"Paradigm (Paradigm Geophysical) is an upstream oil & gas provider in digital subsurface asset management and software innovation. It's analytical and information management solutions extend across critical exploration and production disciplines from seismic processing and imaging, interpretation, modeling to reservoir characterization, and well planning and drilling. Paradigm's Epos infrastructure links all Epos-based applications to a shared database, and incorporates common data models, common interfaces, common services, and common visualization platforms for individuals or teams across disciplines.","Scientific, Engineering Software",United States,$76.50M,1987,01/20/2010,Private Equity,$65.00M
Buildium,"Buildium is a property management solution that automates the entire property management lifecycle as well as enabling real estate professionals to win new business from property owners and community associations. On November 6, 2019 Buildium was acquired by RealPage at a valuation of $580M.",Internet Software & Services,United States,$65.00M,,06/08/2016,Growth Equity - III,$65.00M
Cadre,"RealCadre Company, dba Cadre, is a technology-enabled investment platform that connects qualified individuals and institutions to fully vetted, compelling real estate investment opportunities. Unlike a traditional fund or REIT model, Cadre offers increased investment-level transparency and discretion, lower fees, and a more flexible commitment structure. Cadre employs a rigorous approach to sourcing, underwriting, and ultimately investing in attractive opportunities. The company assumes ongoing oversight and asset management responsibilities on behalf of its investors.",Internet Software & Services,United States,$383.30M,,06/06/2017,Series C,$65.00M
ConsenSys,"ConsenSys is a blockchain venture production studio, building an ecosystem of consumer-centric products and enterprise solutions using blockchain technologies, primarily Ethereum.",Internet Software & Services,United States,$82.50M,2014,04/13/2021,Convertible Note,$65.00M
HeartFlow,"HeartFlow is a digital health company aiming to transform how heart disease is diagnosed and treated. HeartFlow provides a new approach to non-invasive diagnosis of coronary artery disease (CAD), the #1 cause of death. Leveraging deep learning and trained analysts, HeartFlow creates a personalized, digital 3D model of patients’ coronary arteries based on data from CT scans. Physicians use the model to evaluate the impact a blockage has on blood flow to the heart and determine the most optimal treatment pathway for patients.",Healthcare Software,United States,$542.41M,2007,06/14/2019,Series F,$65.00M
Deliverect,"Deliverect allows restaurants to connect online food ordering platforms such as Deliveroo, Foodora, Takeaway.com and Ubereats with their POS.",eCommerce,Belgium,$85.89M,2018,04/21/2021,Series C,$64.82M
FutureLearn,"FutureLearn offers free online courses and online degrees from leading universities and organizations. Courses are delivered one step at a time and are accessible on mobile, tablet and desktop.",Internet Software & Services,United Kingdom,$64.60M,2012,04/29/2019,Corporate Minority,$64.60M
Hengxing,"Provider of lithium ion battery (LIB) cells. The company provides batteries for electric bicycles, lighting, medical equipment, and battery-operated tools. The products include broadcast camera LIB and chargers, digital video LIB and chargers, camera mounted lights, multifunctional portable removal LIBs, and high power capacity LIB systems.",Electrical Product Distribution,China,$70.55M,2003,06/26/2015,Series B,$64.51M
Microgen Financial Systems,Microgen Financial Systems offers a range of financial services technology systems focused on the global wealth management sector and also provides application management services.,Asset & Financial Management & Trading Software,United Kingdom,$64.40M,1996,05/30/2019,Private Equity,$64.40M
Bellrock,"Bellrock provides specialist risk-focused workplace and property management services to a wide range of complex, sophisticated clients throughout the UK.",Real Estate,United Kingdom,$64.40M,1995,07/07/2017,Private Equity,$64.40M
Miovision,"Miovision helps build tomorrow’s smart cities by transforming the way traffic is managed today. Miovision's traffic signal planning and operations have made it possible for cities to improve the transportation experience for drivers, cyclists, and pedestrians.",Internet Software & Services,Canada,$118.36M,2005,01/28/2020,Series C,$64.35M
